,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order,absolute
20,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Altitude,precision,0.0,0,0.5505770536320435
24,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Track / Heading,precision,0.0,0,0.5252784918594687
28,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Event / Encounter,precision,0.0,0,0.5824390243902439
32,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Flight Deck / Cabin / Aircraft Event,precision,0.0,0,0.7555163283318623
36,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Incursion,precision,0.0,0,0.6022471910112359
40,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Airspace Violation,precision,0.0,0,0.6010452961672473
44,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Speed,precision,0.0,0,0.4361111111111111
48,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Excursion,precision,0.0,0,0.5561959654178674
52,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_No Specific Anomaly Occurred,precision,0.0,0,0.5714285714285714
90,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.0016992824618538016,56,0.7596984884959943
114,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.08205223633717085,112,0.6759469696969697
202,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.0002592985571723272,168,0.7577399074769682
226,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.0009298485579709581,224,0.7570693574761695
314,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.05216591868772391,280,0.8101651247218644
338,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.032426743305354555,336,0.7904259493394951
426,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.052403018537981905,392,0.8104022245721224
482,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.048093446479473334,448,0.8060926525136138
506,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.004605540875769476,504,0.753393665158371
562,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.006811503749838188,560,0.7648107097839787
618,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.01561763058985588,616,0.7736168366239964
674,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.03521559379467332,672,0.7932147998288138
730,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.04000142868499623,728,0.7980006347191367
818,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.04230530554531298,784,0.8003045115794535
58,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.0026988300109586083,56,0.7843190450352686
118,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Aircraft Equipment,f1-score,0.006250599946419522,112,0.7878708149707295
170,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.0001077436460725778,168,0.7817279586703826
230,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,-0.004720187783776142,224,0.7769000272405339
282,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.06554550236109824,280,0.8471657173854082
342,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Aircraft Equipment,f1-score,0.06622271961790127,336,0.8478429346422113
394,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.06903351189306428,392,0.8506537269173743
450,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.062317441004298146,448,0.8439376560286082
510,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.01508172935176677,504,0.7967019443760768
566,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.02729856923079721,560,0.8089187842551072
622,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.04311299275974523,616,0.8247332077840552
678,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.025749526770578735,672,0.8073697417948887
734,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.03840881255188733,728,0.8200290275761973
786,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.05667625245670693,784,0.8382964674810169
74,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Conflict,f1-score,0.007321844156543578,56,0.6355169202111146
122,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Conflict,f1-score,-0.025837755955315456,112,0.6023573200992556
186,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Conflict,f1-score,0.007226424332126613,168,0.6354215003866976
234,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Conflict,f1-score,-0.013159529238658152,224,0.6150355468159129
298,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Conflict,f1-score,0.009427224111572596,280,0.6376223001661436
346,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Conflict,f1-score,0.08156102150640443,336,0.7097560975609755
410,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Conflict,f1-score,0.039067573686176305,392,0.6672626497407473
466,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Conflict,f1-score,0.042357829792452395,448,0.6705529058470234
514,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,-0.005184800011854951,504,0.6230102760427161
570,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.001397375260425937,560,0.629592451314997
626,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.007703388879712114,616,0.6358984649342831
682,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.01608867050190277,672,0.6442837465564738
738,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.07915237101890349,728,0.7073474470734745
802,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.11283615125116608,784,0.7410312273057371
106,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,0.004308734116477475,56,0.5806766428106701
126,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Inflight Event / Encounter,f1-score,-0.005163778966889354,112,0.5712041297273033
218,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.0007676491224858362,168,0.5756002595717068
238,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.023693678548325492,224,0.5526742301458671
330,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.04912856978376623,280,0.5272393389104264
350,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Inflight Event / Encounter,f1-score,0.0510622410986471,336,0.6274301497928397
442,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.01965879997724851,392,0.5567091087169441
498,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.03929059012587144,448,0.5370773185683212
518,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.018323540828588447,504,0.5580443678656042
574,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.002255849965918766,560,0.5741120587282739
630,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,0.02493079260450859,616,0.6012987012987012
686,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.19644123591692408,672,0.37992667277726855
742,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.09194746831197415,728,0.4844204403822185
834,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.010301267560527405,784,0.5660666411336652
66,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.07081021807823829,56,0.5068901303538176
130,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_ATC Issue,f1-score,-0.06432915586623245,112,0.5133711925658234
178,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.07270959057623338,168,0.5049907578558225
242,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.09923144891052477,224,0.4784688995215311
290,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.08988446395552152,280,0.48781588447653434
354,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_ATC Issue,f1-score,0.018880848149140705,336,0.5965811965811966
402,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.06713696815036574,392,0.5105633802816901
458,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.06860146660789457,448,0.5090988818241613
522,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.01909685716023546,504,0.5586034912718204
578,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.017598297602892776,560,0.5601020508291631
634,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.0071543141554516465,616,0.5705460342766042
690,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.0481735592259549,672,0.529526789206101
746,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,0.013790485189528412,728,0.5914908336215843
794,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,0.05950155935808721,784,0.6372019077901431
78,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.015375581952411843,56,0.49070866141732283
134,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Altitude,f1-score,-0.041927616863710604,112,0.4641566265060241
190,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.01665638267321723,168,0.48942786069651745
246,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.017404443310928497,224,0.4886798000588062
302,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.2338891214185152,280,0.2721951219512195
358,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Altitude,f1-score,0.0037135793363307634,336,0.5097978227060654
414,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.13814253116572744,392,0.36794171220400723
470,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.11373548892133606,448,0.3923487544483986
526,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.028591540957689787,504,0.4774927024120449
582,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.02888381919157984,560,0.47720042417815484
638,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.03333542820385793,616,0.47274881516587675
694,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.1522179262006652,672,0.35386631716906947
750,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.024931250021619444,728,0.48115299334811523
806,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,0.01990754869592881,784,0.5259917920656635
86,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,0.023747588258704766,56,0.46523120367102017
138,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Track / Heading,f1-score,-0.06392097304329486,112,0.37756264236902054
198,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-7.05339152884954e-05,168,0.4414130814970269
250,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,0.0034859997126002185,224,0.4449696151249156
310,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.2441297014101103,280,0.1973539140022051
362,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Track / Heading,f1-score,0.01825506583958364,336,0.45973868125189904
422,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.1865712415408337,392,0.2549123738714817
478,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.10195573997283774,448,0.33952787543947766
530,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.025759970385513753,504,0.41572364502680165
586,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.042724450155688154,560,0.39875916525662725
642,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.04643547235867024,616,0.39504814305364516
698,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.11861366025536474,672,0.32286995515695066
754,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.017996070928329555,728,0.42348754448398584
814,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,0.07137812092208973,784,0.5128617363344051
102,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.019244007174807065,56,0.456642800318218
142,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Ground Event / Encounter,f1-score,-0.08223491858496923,112,0.39365188890805586
214,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.01694960942539231,168,0.4589371980676328
254,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.054993544813237094,224,0.420893262679788
326,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.18716999333373302,280,0.28871681415929207
366,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Ground Event / Encounter,f1-score,0.009476743026332779,336,0.48536355051935787
438,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.14096364904045489,392,0.3349231584525702
494,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.17262593792780767,448,0.3032608695652174
534,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.05170791161601607,504,0.424178895877009
