,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order,absolute
2,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.0,0,0.7579992060341405
6,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Aircraft Equipment,f1-score,0.0,0,0.78162021502431
10,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Conflict,f1-score,0.0,0,0.628195076054571
14,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Inflight Event / Encounter,f1-score,0.0,0,0.5763679086941926
18,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_ATC Issue,f1-score,0.0,0,0.5777003484320559
22,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Altitude,f1-score,0.0,0,0.5060842433697347
26,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Track / Heading,f1-score,0.0,0,0.4414836154123154
30,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Event / Encounter,f1-score,0.0,0,0.4758868074930251
34,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.0,0,0.6465256797583082
38,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Incursion,f1-score,0.0,0,0.5452695829094608
42,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Airspace Violation,f1-score,0.0,0,0.5007256894049347
46,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Speed,f1-score,0.0,0,0.3548022598870057
50,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Excursion,f1-score,0.0,0,0.4923469387755102
54,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_No Specific Anomaly Occurred,f1-score,0.0,0,0.0606060606060606
1,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.0,0,0.8194146425199553
5,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Aircraft Equipment,recall,0.0,0,0.7444560396556222
9,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Conflict,recall,0.0,0,0.5782332563510393
13,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Inflight Event / Encounter,recall,0.0,0,0.49985443959243087
17,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_ATC Issue,recall,0.0,0,0.5238546603475513
21,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Altitude,recall,0.0,0,0.4682448036951501
25,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Track / Heading,recall,0.0,0,0.3807453416149068
29,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Event / Encounter,recall,0.0,0,0.4022911051212938
33,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.0,0,0.565016501650165
37,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Incursion,recall,0.0,0,0.49814126394052044
41,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Airspace Violation,recall,0.0,0,0.4291044776119403
45,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Speed,recall,0.0,0,0.29904761904761906
49,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Excursion,recall,0.0,0,0.4416475972540046
53,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_No Specific Anomaly Occurred,recall,0.0,0,0.032
0,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.0,0,0.705148090700938
4,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Aircraft Equipment,precision,0.0,0,0.8226899235980971
8,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Conflict,precision,0.0,0,0.687607277720563
12,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Inflight Event / Encounter,precision,0.0,0,0.6805390408244154
16,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_ATC Issue,precision,0.0,0,0.643883495145631
