,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1
3,Base line model,baseline model (DT),Decision Tree,0,0,01_Deviation / Discrepancy - Procedural,support,11651.0
1,Base line model,baseline model (DT),Decision Tree,0,0,01_Deviation / Discrepancy - Procedural,recall,0.8194146425199553
0,Base line model,baseline model (DT),Decision Tree,0,0,01_Deviation / Discrepancy - Procedural,precision,0.705148090700938
539,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,01_Deviation / Discrepancy - Procedural,support,11651.0
538,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,01_Deviation / Discrepancy - Procedural,f1-score,0.8092153879591393
537,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,01_Deviation / Discrepancy - Procedural,recall,0.7989013818556348
536,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,01_Deviation / Discrepancy - Procedural,precision,0.8197991897128765
2,Base line model,baseline model (DT),Decision Tree,0,0,01_Deviation / Discrepancy - Procedural,f1-score,0.7579992060341405
4,Base line model,baseline model (DT),Decision Tree,0,0,02_Aircraft Equipment,precision,0.8226899235980971
5,Base line model,baseline model (DT),Decision Tree,0,0,02_Aircraft Equipment,recall,0.7444560396556222
6,Base line model,baseline model (DT),Decision Tree,0,0,02_Aircraft Equipment,f1-score,0.78162021502431
7,Base line model,baseline model (DT),Decision Tree,0,0,02_Aircraft Equipment,support,7666.0
504,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,02_Aircraft Equipment,precision,0.8819139011062241
505,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,02_Aircraft Equipment,recall,0.8631620140881816
506,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,02_Aircraft Equipment,f1-score,0.8724372074625881
507,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,02_Aircraft Equipment,support,7666.0
8,Base line model,baseline model (DT),Decision Tree,0,0,03_Conflict,precision,0.687607277720563
10,Base line model,baseline model (DT),Decision Tree,0,0,03_Conflict,f1-score,0.628195076054571
523,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,03_Conflict,support,3464.0
11,Base line model,baseline model (DT),Decision Tree,0,0,03_Conflict,support,3464.0
521,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,03_Conflict,recall,0.7829099307159353
520,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,03_Conflict,precision,0.8119760479041916
522,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,03_Conflict,f1-score,0.7971781305114638
9,Base line model,baseline model (DT),Decision Tree,0,0,03_Conflict,recall,0.5782332563510393
554,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,04_Inflight Event / Encounter,f1-score,0.7076779317863261
12,Base line model,baseline model (DT),Decision Tree,0,0,04_Inflight Event / Encounter,precision,0.6805390408244154
