,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1
13,Base line model,baseline model (DT),Decision Tree,0,0,04_Inflight Event / Encounter,recall,0.49985443959243087
14,Base line model,baseline model (DT),Decision Tree,0,0,04_Inflight Event / Encounter,f1-score,0.5763679086941926
15,Base line model,baseline model (DT),Decision Tree,0,0,04_Inflight Event / Encounter,support,3435.0
552,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,04_Inflight Event / Encounter,precision,0.7608841259209645
553,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,04_Inflight Event / Encounter,recall,0.6614264919941776
555,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,04_Inflight Event / Encounter,support,3435.0
514,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,05_ATC Issue,f1-score,0.7234184610248706
513,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,05_ATC Issue,recall,0.6846761453396525
512,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,05_ATC Issue,precision,0.7668082094833687
18,Base line model,baseline model (DT),Decision Tree,0,0,05_ATC Issue,f1-score,0.5777003484320559
17,Base line model,baseline model (DT),Decision Tree,0,0,05_ATC Issue,recall,0.5238546603475513
16,Base line model,baseline model (DT),Decision Tree,0,0,05_ATC Issue,precision,0.643883495145631
515,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,05_ATC Issue,support,3165.0
19,Base line model,baseline model (DT),Decision Tree,0,0,05_ATC Issue,support,3165.0
20,Base line model,baseline model (DT),Decision Tree,0,0,06_Deviation - Altitude,precision,0.5505770536320435
21,Base line model,baseline model (DT),Decision Tree,0,0,06_Deviation - Altitude,recall,0.4682448036951501
22,Base line model,baseline model (DT),Decision Tree,0,0,06_Deviation - Altitude,f1-score,0.5060842433697347
23,Base line model,baseline model (DT),Decision Tree,0,0,06_Deviation - Altitude,support,1732.0
527,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,06_Deviation - Altitude,support,1732.0
526,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,06_Deviation - Altitude,f1-score,0.6819165378670788
525,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,06_Deviation - Altitude,recall,0.6368360277136259
524,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,06_Deviation - Altitude,precision,0.7338656021290751
26,Base line model,baseline model (DT),Decision Tree,0,0,07_Deviation - Track / Heading,f1-score,0.4414836154123154
535,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,07_Deviation - Track / Heading,support,1610.0
534,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,07_Deviation - Track / Heading,f1-score,0.6588693957115009
532,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,07_Deviation - Track / Heading,precision,0.6907356948228883
24,Base line model,baseline model (DT),Decision Tree,0,0,07_Deviation - Track / Heading,precision,0.5252784918594687
25,Base line model,baseline model (DT),Decision Tree,0,0,07_Deviation - Track / Heading,recall,0.3807453416149068
27,Base line model,baseline model (DT),Decision Tree,0,0,07_Deviation - Track / Heading,support,1610.0
533,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,07_Deviation - Track / Heading,recall,0.6298136645962733
28,Base line model,baseline model (DT),Decision Tree,0,0,08_Ground Event / Encounter,precision,0.5824390243902439
29,Base line model,baseline model (DT),Decision Tree,0,0,08_Ground Event / Encounter,recall,0.4022911051212938
30,Base line model,baseline model (DT),Decision Tree,0,0,08_Ground Event / Encounter,f1-score,0.4758868074930251
31,Base line model,baseline model (DT),Decision Tree,0,0,08_Ground Event / Encounter,support,1484.0
551,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,08_Ground Event / Encounter,support,1484.0
550,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,08_Ground Event / Encounter,f1-score,0.6042389210019268
549,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,08_Ground Event / Encounter,recall,0.5283018867924528
548,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,08_Ground Event / Encounter,precision,0.7056705670567057
35,Base line model,baseline model (DT),Decision Tree,0,0,09_Flight Deck / Cabin / Aircraft Event,support,1515.0
518,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,09_Flight Deck / Cabin / Aircraft Event,f1-score,0.7486855941114616
519,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,09_Flight Deck / Cabin / Aircraft Event,support,1515.0
32,Base line model,baseline model (DT),Decision Tree,0,0,09_Flight Deck / Cabin / Aircraft Event,precision,0.7555163283318623
33,Base line model,baseline model (DT),Decision Tree,0,0,09_Flight Deck / Cabin / Aircraft Event,recall,0.565016501650165
34,Base line model,baseline model (DT),Decision Tree,0,0,09_Flight Deck / Cabin / Aircraft Event,f1-score,0.6465256797583082
517,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,09_Flight Deck / Cabin / Aircraft Event,recall,0.7049504950495049
516,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,09_Flight Deck / Cabin / Aircraft Event,precision,0.7982062780269058
545,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,10_Ground Incursion,recall,0.6747211895910781
546,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,10_Ground Incursion,f1-score,0.7011105746016417
547,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,10_Ground Incursion,support,1076.0
38,Base line model,baseline model (DT),Decision Tree,0,0,10_Ground Incursion,f1-score,0.5452695829094608
36,Base line model,baseline model (DT),Decision Tree,0,0,10_Ground Incursion,precision,0.6022471910112359
37,Base line model,baseline model (DT),Decision Tree,0,0,10_Ground Incursion,recall,0.49814126394052044
544,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,10_Ground Incursion,precision,0.7296482412060301
39,Base line model,baseline model (DT),Decision Tree,0,0,10_Ground Incursion,support,1076.0
508,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,11_Airspace Violation,precision,0.734375
509,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,11_Airspace Violation,recall,0.5261194029850746
510,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,11_Airspace Violation,f1-score,0.6130434782608696
511,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,11_Airspace Violation,support,804.0
41,Base line model,baseline model (DT),Decision Tree,0,0,11_Airspace Violation,recall,0.4291044776119403
40,Base line model,baseline model (DT),Decision Tree,0,0,11_Airspace Violation,precision,0.6010452961672473
43,Base line model,baseline model (DT),Decision Tree,0,0,11_Airspace Violation,support,804.0
42,Base line model,baseline model (DT),Decision Tree,0,0,11_Airspace Violation,f1-score,0.5007256894049347
530,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,12_Deviation - Speed,f1-score,0.5120671563483735
531,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,12_Deviation - Speed,support,525.0
47,Base line model,baseline model (DT),Decision Tree,0,0,12_Deviation - Speed,support,525.0
46,Base line model,baseline model (DT),Decision Tree,0,0,12_Deviation - Speed,f1-score,0.3548022598870057
45,Base line model,baseline model (DT),Decision Tree,0,0,12_Deviation - Speed,recall,0.29904761904761906
44,Base line model,baseline model (DT),Decision Tree,0,0,12_Deviation - Speed,precision,0.4361111111111111
528,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,12_Deviation - Speed,precision,0.5700934579439252
529,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,12_Deviation - Speed,recall,0.46476190476190476
49,Base line model,baseline model (DT),Decision Tree,0,0,13_Ground Excursion,recall,0.4416475972540046
51,Base line model,baseline model (DT),Decision Tree,0,0,13_Ground Excursion,support,437.0
48,Base line model,baseline model (DT),Decision Tree,0,0,13_Ground Excursion,precision,0.5561959654178674
543,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,13_Ground Excursion,support,437.0
542,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,13_Ground Excursion,f1-score,0.6649214659685864
541,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,13_Ground Excursion,recall,0.5812356979405034
540,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,13_Ground Excursion,precision,0.7767584097859327
50,Base line model,baseline model (DT),Decision Tree,0,0,13_Ground Excursion,f1-score,0.4923469387755102
52,Base line model,baseline model (DT),Decision Tree,0,0,14_No Specific Anomaly Occurred,precision,0.5714285714285714
53,Base line model,baseline model (DT),Decision Tree,0,0,14_No Specific Anomaly Occurred,recall,0.032
559,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,14_No Specific Anomaly Occurred,support,125.0
558,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,14_No Specific Anomaly Occurred,f1-score,0.015384615384615384
557,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,14_No Specific Anomaly Occurred,recall,0.008
556,BERT,best transformer,BERT_BASE UNFROZEN,raw,0,14_No Specific Anomaly Occurred,precision,0.2
54,Base line model,baseline model (DT),Decision Tree,0,0,14_No Specific Anomaly Occurred,f1-score,0.0606060606060606
55,Base line model,baseline model (DT),Decision Tree,0,0,14_No Specific Anomaly Occurred,support,125.0
