,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order
45,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Speed,recall,0.0,0
49,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Excursion,recall,0.0,0
53,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_No Specific Anomaly Occurred,recall,0.0,0
0,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.0,0
4,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Aircraft Equipment,precision,0.0,0
8,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Conflict,precision,0.0,0
12,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Inflight Event / Encounter,precision,0.0,0
16,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_ATC Issue,precision,0.0,0
20,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Altitude,precision,0.0,0
24,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Track / Heading,precision,0.0,0
28,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Event / Encounter,precision,0.0,0
32,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Flight Deck / Cabin / Aircraft Event,precision,0.0,0
36,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Incursion,precision,0.0,0
40,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Airspace Violation,precision,0.0,0
44,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Speed,precision,0.0,0
48,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Excursion,precision,0.0,0
52,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_No Specific Anomaly Occurred,precision,0.0,0
90,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.0016992824618538016,56
114,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.08205223633717085,112
202,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.0002592985571723272,168
226,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.0009298485579709581,224
314,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.05216591868772391,280
338,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.032426743305354555,336
426,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.052403018537981905,392
482,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.048093446479473334,448
506,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,-0.004605540875769476,504
562,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.006811503749838188,560
618,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.01561763058985588,616
674,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.03521559379467332,672
730,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.04000142868499623,728
818,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.04230530554531298,784
58,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.0026988300109586083,56
118,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Aircraft Equipment,f1-score,0.006250599946419522,112
170,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.0001077436460725778,168
230,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,-0.004720187783776142,224
282,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.06554550236109824,280
342,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Aircraft Equipment,f1-score,0.06622271961790127,336
394,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.06903351189306428,392
450,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,f1-score,0.062317441004298146,448
510,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.01508172935176677,504
566,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.02729856923079721,560
622,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.04311299275974523,616
678,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.025749526770578735,672
734,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.03840881255188733,728
786,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,f1-score,0.05667625245670693,784
74,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Conflict,f1-score,0.007321844156543578,56
122,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Conflict,f1-score,-0.025837755955315456,112
186,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Conflict,f1-score,0.007226424332126613,168
234,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Conflict,f1-score,-0.013159529238658152,224
298,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Conflict,f1-score,0.009427224111572596,280
346,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Conflict,f1-score,0.08156102150640443,336
410,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Conflict,f1-score,0.039067573686176305,392
466,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Conflict,f1-score,0.042357829792452395,448
514,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,-0.005184800011854951,504
570,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.001397375260425937,560
626,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.007703388879712114,616
682,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.01608867050190277,672
738,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.07915237101890349,728
802,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,f1-score,0.11283615125116608,784
106,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,0.004308734116477475,56
126,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Inflight Event / Encounter,f1-score,-0.005163778966889354,112
218,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.0007676491224858362,168
238,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.023693678548325492,224
330,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.04912856978376623,280
350,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Inflight Event / Encounter,f1-score,0.0510622410986471,336
442,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.01965879997724851,392
498,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.03929059012587144,448
518,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.018323540828588447,504
574,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.002255849965918766,560
630,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,0.02493079260450859,616
686,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.19644123591692408,672
742,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.09194746831197415,728
834,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,f1-score,-0.010301267560527405,784
66,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.07081021807823829,56
130,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_ATC Issue,f1-score,-0.06432915586623245,112
178,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.07270959057623338,168
242,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.09923144891052477,224
290,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.08988446395552152,280
354,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_ATC Issue,f1-score,0.018880848149140705,336
402,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.06713696815036574,392
458,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_ATC Issue,f1-score,-0.06860146660789457,448
522,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.01909685716023546,504
578,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.017598297602892776,560
634,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.0071543141554516465,616
690,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,-0.0481735592259549,672
746,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,0.013790485189528412,728
794,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,f1-score,0.05950155935808721,784
78,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.015375581952411843,56
134,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Altitude,f1-score,-0.041927616863710604,112
190,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.01665638267321723,168
246,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.017404443310928497,224
302,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.2338891214185152,280
358,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Altitude,f1-score,0.0037135793363307634,336
414,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.13814253116572744,392
470,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,f1-score,-0.11373548892133606,448
526,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.028591540957689787,504
582,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.02888381919157984,560
638,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.03333542820385793,616
694,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.1522179262006652,672
750,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,-0.024931250021619444,728
806,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,f1-score,0.01990754869592881,784
86,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,0.023747588258704766,56
138,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Track / Heading,f1-score,-0.06392097304329486,112
198,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-7.05339152884954e-05,168
250,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,0.0034859997126002185,224
310,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.2441297014101103,280
362,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Track / Heading,f1-score,0.01825506583958364,336
422,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.1865712415408337,392
478,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.10195573997283774,448
530,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.025759970385513753,504
586,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.042724450155688154,560
642,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.04643547235867024,616
698,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.11861366025536474,672
754,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,-0.017996070928329555,728
814,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,f1-score,0.07137812092208973,784
102,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.019244007174807065,56
142,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Ground Event / Encounter,f1-score,-0.08223491858496923,112
214,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.01694960942539231,168
254,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.054993544813237094,224
326,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.18716999333373302,280
366,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Ground Event / Encounter,f1-score,0.009476743026332779,336
438,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.14096364904045489,392
494,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.17262593792780767,448
534,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.05170791161601607,504
590,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.03140282172790054,560
646,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.004093845288593911,616
702,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.24377413143668705,672
758,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,-0.0496261034016835,728
830,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,f1-score,0.07046671537471277,784
70,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.012969869203116158,56
146,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.11168247418339539,112
182,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.002102934029682868,168
258,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.03080673734613859,224
294,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.02403221855516957,280
370,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.0893858627759716,336
406,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.008004379513495419,392
462,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.03714382969254748,448
538,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.17560207656560578,504
