,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order
2,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation / Discrepancy - Procedural,f1-score,0.0,0
6,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Aircraft Equipment,f1-score,0.0,0
10,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Conflict,f1-score,0.0,0
14,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Inflight Event / Encounter,f1-score,0.0,0
18,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_ATC Issue,f1-score,0.0,0
22,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Altitude,f1-score,0.0,0
26,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Track / Heading,f1-score,0.0,0
30,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Event / Encounter,f1-score,0.0,0
34,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.0,0
38,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Incursion,f1-score,0.0,0
42,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Airspace Violation,f1-score,0.0,0
46,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Speed,f1-score,0.0,0
50,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Excursion,f1-score,0.0,0
54,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_No Specific Anomaly Occurred,f1-score,0.0,0
1,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.0,0
5,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Aircraft Equipment,recall,0.0,0
9,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Conflict,recall,0.0,0
13,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Inflight Event / Encounter,recall,0.0,0
17,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_ATC Issue,recall,0.0,0
21,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Altitude,recall,0.0,0
25,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Deviation - Track / Heading,recall,0.0,0
29,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Event / Encounter,recall,0.0,0
33,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.0,0
37,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Ground Incursion,recall,0.0,0
41,Base line model,Decision Tree/Raw/Std sampling/,Decision Tree,0,0,Anomaly_Airspace Violation,recall,0.0,0
